name,website,type,use,address,area,ownership,Geom,geo_point_2d,latitude,longitude
Artstarts in Schools,www.artstarts.com,Museum/Gallery,Museum/Gallery,"808 Richards St, Vancouver, BC, V6B 3A7",Downtown,Privately Owned,"{""coordinates"": [-123.1179808, 49.2799985], ""type"": ""Point""}","49.2799985, -123.1179808",49.2799985,-123.1179808
BAF Studio,http://www.burrardarts.org/about.html,Museum/Gallery,Museum/Gallery,"108 E Broadway Av, Vancouver, BC, V5T 1V9",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.102505, 49.262669], ""type"": ""Point""}","49.262669, -123.102505",49.262669,-123.102505
Basic Inquiry,http://www.lifedrawing.org/index.html,Museum/Gallery,Museum/Gallery,"1011 Main St, Vancouver, BC, V6A 4L4",Downtown,Privately Owned,"{""coordinates"": [-123.1000334, 49.2758184], ""type"": ""Point""}","49.2758184, -123.1000334",49.2758184,-123.1000334
Bau-Xi Gallery,www.bau-xi.com,Museum/Gallery,Museum/Gallery,"3045 Granville St, Vancouver, BC, V6H 3J9",Fairview,Privately Owned,"{""coordinates"": [-123.1391799, 49.258496], ""type"": ""Point""}","49.258496, -123.1391799",49.258496,-123.1391799
David Lam Park,,Community Space,Plaza/Park/Band Shell,"1300 Pacific Blvd, Vancouver, BC, V6Z 2V1",Downtown,City of Vancouver,"{""coordinates"": [-123.1241736, 49.2724252], ""type"": ""Point""}","49.2724252, -123.1241736",49.2724252,-123.1241736
Douglas Udell Gallery,www.douglasudellgallery.com?,Museum/Gallery,Museum/Gallery,"1558 W 6th Av, Vancouver, BC, V6J 1R2",Fairview,Privately Owned,"{""coordinates"": [-123.1399725, 49.2661804], ""type"": ""Point""}","49.2661804, -123.1399725",49.2661804,-123.1399725
Dr. Sun Yat-Sen Classical Chinese Garden,www.vancouverchinesegarden.com?,Museum/Gallery,Garden/Aquarium/Science Centre,"578 Carrall St, Vancouver, BC, V6B 5K2",Downtown,City of Vancouver,"{""coordinates"": [-123.104168, 49.279983], ""type"": ""Point""}","49.279983, -123.104168",49.279983,-123.104168
Equinox Gallery,www.equinoxgallery.com,Museum/Gallery,Museum/Gallery,"525 Great Northern Way, Vancouver, BC, V5T 1E1",Strathcona,Privately Owned,"{""coordinates"": [-123.09226, 49.267609], ""type"": ""Point""}","49.267609, -123.09226",49.267609,-123.09226
Gallery 295,http://gallery295.com/295/,Museum/Gallery,Museum/Gallery,"295 E 2nd Ave, Vancouver, BC, V5T 1B8",Strathcona,Privately Owned,"{""coordinates"": [-123.0981191, 49.2680645], ""type"": ""Point""}","49.2680645, -123.0981191",49.2680645,-123.0981191
Granville Street/ Entertainment District,,Community Space,Plaza/Park/Band Shell,"Vancouver, BC",Downtown,City of Vancouver,"{""coordinates"": [-123.11966, 49.281457], ""type"": ""Point""}","49.281457, -123.11966",49.281457,-123.11966
Harrison Galleries,www.harrisongalleries.com,Museum/Gallery,Museum/Gallery,"901 Homer St, Vancouver, BC, V6B 2W6",Downtown,Privately Owned,"{""coordinates"": [-123.1184779, 49.2784569], ""type"": ""Point""}","49.2784569, -123.1184779",49.2784569,-123.1184779
Jericho Beach,,Community Space,Plaza/Park/Band Shell,"3941 Point Grey Rd., Vancouver, BC, V6R 1B5",West Point Grey,City of Vancouver,"{""coordinates"": [-123.1912389, 49.2711948], ""type"": ""Point""}","49.2711948, -123.1912389",49.2711948,-123.1912389
Labyrinth Gallery,http://labyrinthgallery.org/,Museum/Gallery,Museum/Gallery,"112 E Hastings St, Vancouver, BC, V6A 4J1",Downtown,Privately Owned,"{""coordinates"": [-123.1017894, 49.2810651], ""type"": ""Point""}","49.2810651, -123.1017894",49.2810651,-123.1017894
Little Mountain Gallery,www.littlemountaingallery.com,Museum/Gallery,Museum/Gallery,"195 E 26th Av, Vancouver, BC, V5V 2G8",Riley Park,Privately Owned,"{""coordinates"": [-123.1014023, 49.2480158], ""type"": ""Point""}","49.2480158, -123.1014023",49.2480158,-123.1014023
Make Gallery,http://makeisawesome.com/,Museum/Gallery,Museum/Gallery,"257 E 7th Av, Vancouver, BC, V5T 0B4",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.0992862, 49.2646046], ""type"": ""Point""}","49.2646046, -123.0992862",49.2646046,-123.0992862
Marion Scott Gallery,www.marionscottgallery.com,Museum/Gallery,Museum/Gallery,"2423 Granville St, Vancouver, BC, V6H 3G5",Fairview,Privately Owned,"{""coordinates"": [-123.1386272, 49.264079], ""type"": ""Point""}","49.264079, -123.1386272",49.264079,-123.1386272
Or Gallery,www.orgallery.org?,Museum/Gallery,Museum/Gallery,"555 Hamilton St, Vancouver, BC, V6B 2R1",Downtown,Privately Owned,"{""coordinates"": [-123.112094, 49.281406], ""type"": ""Point""}","49.281406, -123.112094",49.281406,-123.112094
Pendulum Gallery,www.pendulumgallery.bc.ca?,Museum/Gallery,Museum/Gallery,"885 W Georgia St, Vancouver, BC, V6C 3E8",Downtown,Privately Owned,"{""coordinates"": [-123.119963, 49.283709], ""type"": ""Point""}","49.283709, -123.119963",49.283709,-123.119963
Queen Elizabeth Theatre Plaza,,Community Space,Plaza/Park/Band Shell,"650 Hamilton St, Vancouver, BC, V6B 5N6",Downtown,City of Vancouver,"{""coordinates"": [-123.113393, 49.27994], ""type"": ""Point""}","49.27994, -123.113393",49.27994,-123.113393
Science World At Telus World Of Science,www.scienceworld.ca?,Museum/Gallery,Garden/Aquarium/Science Centre,"1455 Quebec St, Vancouver, BC, V6A 3Z7",Downtown,Government,"{""coordinates"": [-123.103652, 49.273743], ""type"": ""Point""}","49.273743, -123.103652",49.273743,-123.103652
Semi-Public (221A),http://221a.ca/,Community Space,Plaza/Park/Band Shell,"271 Union St, Vancouver, BC, V6A 2B2",Strathcona,Privately Owned,"{""coordinates"": [-123.0974061, 49.2778745], ""type"": ""Point""}","49.2778745, -123.0974061",49.2778745,-123.0974061
Teck Gallery,https://www.sfu.ca/galleries/teck-gallery.html,Museum/Gallery,Museum/Gallery,"515 W Hastings St, Vancouver, BC, V6B 0B2",Downtown,Privately Owned,"{""coordinates"": [-123.1119735, 49.2841655], ""type"": ""Point""}","49.2841655, -123.1119735",49.2841655,-123.1119735
Van Dusen Botanical Garden,http://vandusengarden.org/,Museum/Gallery,Garden/Aquarium/Science Centre,"5251 Oak St, Vancouver, BC, V6M 4H1",Shaughnessy,City of Vancouver,"{""coordinates"": [-123.128627, 49.238472], ""type"": ""Point""}","49.238472, -123.128627",49.238472,-123.128627
Vancity Theatre,http://www.viff.org/theatre/facility-info,Theatre/Performance,Cinema,"1181 Seymour St, Vancouver, BC, V6B 3M7",Downtown,Privately Owned,"{""coordinates"": [-123.124732, 49.276974], ""type"": ""Point""}","49.276974, -123.124732",49.276974,-123.124732
Vancouver Community Laboratory,http://vancommunitylab.com/,Studio/Rehearsal,Workshop,"1907 Triumph St, Vancouver, BC, V5L 1K6",Grandview-Woodland,,"{""coordinates"": [-123.0652956, 49.2841727], ""type"": ""Point""}","49.2841727, -123.0652956",49.2841727,-123.0652956
Writers' Exchange,,Studio/Rehearsal,Workshop,"881 E Hastings St, Vancouver, BC, V6A 1R8",Strathcona,Privately Owned,"{""coordinates"": [-123.0853822, 49.2811097], ""type"": ""Point""}","49.2811097, -123.0853822",49.2811097,-123.0853822
Creekside Park,,Community Space,Plaza/Park/Band Shell,"1455 Quebec St, Vancouver, BC, V6A 3Z7",Downtown,City of Vancouver,"{""coordinates"": [-123.10319, 49.274159], ""type"": ""Point""}","49.274159, -123.10319",49.274159,-123.10319
Douglas Reynolds Gallery,www.douglasreynoldsgallery.com,Museum/Gallery,Museum/Gallery,"2335 Granville St, Vancouver, BC, V6H 3G4",Fairview,Privately Owned,"{""coordinates"": [-123.1385998, 49.2648423], ""type"": ""Point""}","49.2648423, -123.1385998",49.2648423,-123.1385998
Gallery Jones,www.galleryjones.com?,Museum/Gallery,Museum/Gallery,"1725 W 3rd Av, Vancouver, BC, V6J 1K7",Fairview,Privately Owned,"{""coordinates"": [-123.1438197, 49.2689012], ""type"": ""Point""}","49.2689012, -123.1438197",49.2689012,-123.1438197
Hastings Mill Store Museum,www.hastings-mill-museum.ca?,Museum/Gallery,Museum/Gallery,"1575 Alma St, Vancouver, BC, V6R 3P3",West Point Grey,City of Vancouver,"{""coordinates"": [-123.185988, 49.272817], ""type"": ""Point""}","49.272817, -123.185988",49.272817,-123.185988
Vancouver Police Museum,www.vancouverpolicemuseum.ca?,Museum/Gallery,Museum/Gallery,"240 E Cordova St, Vancouver, BC, V6A 1L3",Strathcona,City of Vancouver,"{""coordinates"": [-123.0987999, 49.282247], ""type"": ""Point""}","49.282247, -123.0987999",49.282247,-123.0987999
Vancouver Public Library,www.vpl.ca,Museum/Gallery,Library/Archives,"350 W Georgia St, Vancouver, BC, V6B 6B1",Downtown,City of Vancouver,"{""coordinates"": [-123.1151119, 49.2804357], ""type"": ""Point""}","49.2804357, -123.1151119",49.2804357,-123.1151119
David Lam Park,,Community Space,Plaza/Park/Band Shell,"1300 Pacific Blvd, Vancouver, BC, V6Z 2V1",Downtown,City of Vancouver,"{""coordinates"": [-123.1241736, 49.2724252], ""type"": ""Point""}","49.2724252, -123.1241736",49.2724252,-123.1241736
Douglas Reynolds Gallery,www.douglasreynoldsgallery.com,Museum/Gallery,Museum/Gallery,"2335 Granville St, Vancouver, BC, V6H 3G4",Fairview,Privately Owned,"{""coordinates"": [-123.1385998, 49.2648423], ""type"": ""Point""}","49.2648423, -123.1385998",49.2648423,-123.1385998
Dynamo Arts Association,www.dynamoarts.tumblr.com?,Museum/Gallery,Museum/Gallery,"30 E 6th Ave, Vancouver, BC, V5T 1J4",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.1040486, 49.2653017], ""type"": ""Point""}","49.2653017, -123.1040486",49.2653017,-123.1040486
Grunt Gallery,www.grunt.ca?,Museum/Gallery,Museum/Gallery,"350 E 2nd Av, Vancouver, BC, V5T 4R8",Mount Pleasant,Non-Profit,"{""coordinates"": [-123.09715, 49.26676], ""type"": ""Point""}","49.26676, -123.09715",49.26676,-123.09715
Il Museo,https://italianculturalcentre.ca/events/museum-art-gallery/,Museum/Gallery,Museum/Gallery,"3075 Slocan St, Vancouver, BC, V5M 3E4",Renfrew-Collingwood,Non-Profit,"{""coordinates"": [-123.049576, 49.256761], ""type"": ""Point""}","49.256761, -123.049576",49.256761,-123.049576
James Tan Gallery,http://www.jamestan.com/home.htm,Museum/Gallery,Museum/Gallery,"437 Columbia St, Vancouver, BC, V6A 2R9",Downtown,Privately Owned,"{""coordinates"": [-123.1023067, 49.2810853], ""type"": ""Point""}","49.2810853, -123.1023067",49.2810853,-123.1023067
Jericho Beach/ Vancouver Folk Music Festival,,Community Space,Plaza/Park/Band Shell,"3941 Point Grey Rd., Vancouver, BC, V6R 1B5",West Point Grey,City of Vancouver,"{""coordinates"": [-123.1912389, 49.2711948], ""type"": ""Point""}","49.2711948, -123.1912389",49.2711948,-123.1912389
Kurbatoff Art Gallery Ltd,http://www.kurbatoffgallery.com/,Museum/Gallery,Museum/Gallery,"2435 Granville St, Vancouver, BC, V6H 3G5",Fairview,Privately Owned,"{""coordinates"": [-123.138751, 49.26421], ""type"": ""Point""}","49.26421, -123.138751",49.26421,-123.138751
Lattimer Gallery,www.lattimergallery.com?,Museum/Gallery,Museum/Gallery,"1590 W 2nd Av, Vancouver, BC, V6J 1H2",Fairview,Privately Owned,"{""coordinates"": [-123.1406592, 49.2696829], ""type"": ""Point""}","49.2696829, -123.1406592",49.2696829,-123.1406592
MakerLabs,www.makerlabs.ca,Studio/Rehearsal,Workshop,"780 E Cordova St, Vancouver, BC, V6A1M3",Strathcona,Privately Owned,"{""coordinates"": [-123.087695, 49.2818014], ""type"": ""Point""}","49.2818014, -123.087695",49.2818014,-123.087695
Petley Jones Gallery,www.petleyjones.com?,Museum/Gallery,Museum/Gallery,"2245 Granville St, Vancouver, BC, V6H 3G1",Downtown,Privately Owned,"{""coordinates"": [-123.1408505, 49.2656002], ""type"": ""Point""}","49.2656002, -123.1408505",49.2656002,-123.1408505
šx????n?q Xwtl’e7én? Square,,Community Space,Plaza/Park/Band Shell,"850 W Georgia St, Vancouver, BC, V6Z 2H7",Downtown,City of Vancouver,"{""coordinates"": [-123.119848, 49.283113], ""type"": ""Point""}","49.283113, -123.119848",49.283113,-123.119848
Wall Centre Plaza,,Community Space,Plaza/Park/Band Shell,"1088 Burrard St, Vancouver, BC, V6Z 2R9",Downtown,Privately Owned,"{""coordinates"": [-123.1265368, 49.2801175], ""type"": ""Point""}","49.2801175, -123.1265368",49.2801175,-123.1265368
Writers' Exchange,,Studio/Rehearsal,Workshop,"877 E Hastings St, Vancouver, BC, V6A 3Y1",Strathcona,Privately Owned,"{""coordinates"": [-123.0876377, 49.2812949], ""type"": ""Point""}","49.2812949, -123.0876377",49.2812949,-123.0876377
Ian Tan Gallery,www.iantangallery.com?,Museum/Gallery,Museum/Gallery,"2202 Granville St, Vancouver, BC, V6H 4H7",Fairview,Privately Owned,"{""coordinates"": [-123.1383868, 49.2661646], ""type"": ""Point""}","49.2661646, -123.1383868",49.2661646,-123.1383868
Inuit Gallery of Vancouver,www.inuit.com,Museum/Gallery,Museum/Gallery,"206 Cambie St, Vancouver, BC, V6B 2M9",Downtown,Privately Owned,"{""coordinates"": [-123.1088083, 49.2842455], ""type"": ""Point""}","49.2842455, -123.1088083",49.2842455,-123.1088083
James Black Gallery,http://www.thejamesblack.gallery/,Museum/Gallery,Museum/Gallery,"144 E 6th Av, Vancouver, BC, V5T1J5",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.1019214, 49.2652632], ""type"": ""Point""}","49.2652632, -123.1019214",49.2652632,-123.1019214
Museum of Vancouver,www.museumofvancouver.ca?,Museum/Gallery,Museum/Gallery,"1100 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,"{""coordinates"": [-123.144897, 49.276365], ""type"": ""Point""}","49.276365, -123.144897",49.276365,-123.144897
New Leaf Editions,www.newleafeditions.com?,Studio/Rehearsal,Workshop,"1370 Cartwright St, Vancouver, BC, V6H 3R7",Fairview,Privately Owned,"{""coordinates"": [-123.134665, 49.269841], ""type"": ""Point""}","49.269841, -123.134665",49.269841,-123.134665
Petley Jones Gallery,www.petleyjones.com?,Museum/Gallery,Museum/Gallery,"554 W 6th Av, Vancouver, BC, V6J 1R2",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.0917358, 49.2652275], ""type"": ""Point""}","49.2652275, -123.0917358",49.2652275,-123.0917358
Tracey Lawrence Gallery,,Museum/Gallery,Museum/Gallery,"1531 W 4th Av, Vancouver, BC, V6J 1L6",Fairview,Privately Owned,"{""coordinates"": [-123.139461, 49.267975], ""type"": ""Point""}","49.267975, -123.139461",49.267975,-123.139461
Unit/Pitt Projects,www.helenpittgallery.org,Museum/Gallery,Museum/Gallery,"236 E Pender St, Vancouver, BC, V6A 1T7",Strathcona,Privately Owned,"{""coordinates"": [-123.098813, 49.280103], ""type"": ""Point""}","49.280103, -123.098813",49.280103,-123.098813
Uno Langmann Limited Fine Arts,www.langmann.com,Museum/Gallery,Museum/Gallery,"2117 Granville St, Vancouver, BC, V6H 3E9",Fairview,Privately Owned,"{""coordinates"": [-123.1388698, 49.2666423], ""type"": ""Point""}","49.2666423, -123.1388698",49.2666423,-123.1388698
Vancouver Art Gallery Offsite,http://www.vanartgallery.bc.ca/the_exhibitions/public_art.html,Museum/Gallery,Museum/Gallery,"1100 W Georgia St, Vancouver, BC, V6E 0A8",West End,City of Vancouver,"{""coordinates"": [-123.124298, 49.286205], ""type"": ""Point""}","49.286205, -123.124298",49.286205,-123.124298
Beaty Biodiversity Museum,http://www.beatymuseum.ubc.ca/about,Museum/Gallery,Museum/Gallery,"2212 Main Mall, Vancouver, BC, V6T 1Z4",,Other,"{""coordinates"": [-123.251485, 49.2634318], ""type"": ""Point""}","49.2634318, -123.251485",49.2634318,-123.251485
Catriona Jeffries Gallery,www.catrionajeffries.com?,Museum/Gallery,Museum/Gallery,"274 E 1st Av, Vancouver, BC, V5T 1A6",Strathcona,Privately Owned,"{""coordinates"": [-123.0980394, 49.2687198], ""type"": ""Point""}","49.2687198, -123.0980394",49.2687198,-123.0980394
Coastal Peoples Fine Arts Gallery Gastown,http://www.coastalpeoples.com,Museum/Gallery,Museum/Gallery,"312 Water St, Vancouver, BC, V6B 1B6",Downtown,Privately Owned,"{""coordinates"": [-123.109198, 49.2843539], ""type"": ""Point""}","49.2843539, -123.109198",49.2843539,-123.109198
Eagle Spirit Gallery,www.eaglespiritgallery.com,Museum/Gallery,Museum/Gallery,"1803 Maritime Mews, Vancouver, BC, V6H 3W7",Fairview,Privately Owned,"{""coordinates"": [-123.136077, 49.2710507], ""type"": ""Point""}","49.2710507, -123.136077",49.2710507,-123.136077
Gallery of BC Ceramics,http://www.bcpotters.com/Gallery/index.php,Museum/Gallery,Museum/Gallery,"1359 Cartwright St, Vancouver, BC, V6H 3R7",Fairview,Non-Profit,"{""coordinates"": [-123.134283, 49.270046], ""type"": ""Point""}","49.270046, -123.134283",49.270046,-123.134283
Hastings Mill Store Museum,www.hastings-mill-museum.ca?,Museum/Gallery,Museum/Gallery,"1575 Alma St, Vancouver, BC, V6R 3P3",West Point Grey,City of Vancouver,"{""coordinates"": [-123.185988, 49.272817], ""type"": ""Point""}","49.272817, -123.185988",49.272817,-123.185988
Havana Gallery,www.havanarestaurant.ca,Museum/Gallery,Museum/Gallery,"1212 Commercial Dr, Vancouver, BC, V5L 3X4",Grandview-Woodland,Privately Owned,"{""coordinates"": [-123.069421, 49.273662], ""type"": ""Point""}","49.273662, -123.069421",49.273662,-123.069421
Jericho Beach,,Community Space,Plaza/Park/Band Shell,"3941 Point Grey Rd., Vancouver, BC, V6R 1B5",West Point Grey,City of Vancouver,"{""coordinates"": [-123.1912389, 49.2711948], ""type"": ""Point""}","49.2711948, -123.1912389",49.2711948,-123.1912389
Monte Clark Gallery,www.monteclarkgallery.com,Museum/Gallery,Museum/Gallery,"525 Great Northern Way, Vancouver, BC, V5T 1E1",Strathcona,Privately Owned,"{""coordinates"": [-123.0921743, 49.26761], ""type"": ""Point""}","49.26761, -123.0921743",49.26761,-123.0921743
Museum of Vancouver,www.museumofvancouver.ca?,Museum/Gallery,Museum/Gallery,"1100 Chestnut St, Vancouver, BC, V6J 3J9",Kitsilano,City of Vancouver,"{""coordinates"": [-123.144897, 49.276365], ""type"": ""Point""}","49.276365, -123.144897",49.276365,-123.144897
On Main,www.onmaingallery.com?,Museum/Gallery,Museum/Gallery,"200 E 20th Av, Vancouver, BC, V5V 1M1",Riley Park,Privately Owned,"{""coordinates"": [-123.10056, 49.252773], ""type"": ""Point""}","49.252773, -123.10056",49.252773,-123.10056
Petley Jones Gallery,www.petleyjones.com?,Museum/Gallery,Museum/Gallery,"554 W 6th Av, Vancouver, BC, V6J 1R2",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.0917358, 49.2652275], ""type"": ""Point""}","49.2652275, -123.0917358",49.2652275,-123.0917358
Secret Lantern Society,,Studio/Rehearsal,Workshop,"328 -B Industrial Av, Vancouver, BC,",Strathcona,Privately Owned,"{""coordinates"": [-123.0965625, 49.2695868], ""type"": ""Point""}","49.2695868, -123.0965625",49.2695868,-123.0965625
Spirit Wrestler Gallery,www.spiritwrestler.com,Museum/Gallery,Museum/Gallery,"47 Water St, Vancouver, BC, V6B 1A1",Downtown,Privately Owned,"{""coordinates"": [-123.105348, 49.2837331], ""type"": ""Point""}","49.2837331, -123.105348",49.2837331,-123.105348
Writers' Exchange,,Studio/Rehearsal,Workshop,"881 E Hastings St, Vancouver, BC, V6A 1R8",Strathcona,Privately Owned,"{""coordinates"": [-123.0853822, 49.2811097], ""type"": ""Point""}","49.2811097, -123.0853822",49.2811097,-123.0853822
Art Beatus,www.artbeatus.com,Museum/Gallery,Museum/Gallery,"808 Nelson St, Vancouver, BC, V6Z 2H2",Downtown,Privately Owned,"{""coordinates"": [-123.1249139, 49.2800409], ""type"": ""Point""}","49.2800409, -123.1249139",49.2800409,-123.1249139
Science World At Telus World Of Science,www.scienceworld.ca?,Museum/Gallery,Garden/Aquarium/Science Centre,"1455 Quebec St, Vancouver, BC, V6A 3Z7",Downtown,Government,"{""coordinates"": [-123.103652, 49.273743], ""type"": ""Point""}","49.273743, -123.103652",49.273743,-123.103652
Art Works Gallery,http://artworksbc.com/,Museum/Gallery,Museum/Gallery,"1536 Venables St, Vancouver, BC, V5L 2G9",Strathcona,Privately Owned,"{""coordinates"": [-123.0729141, 49.2765155], ""type"": ""Point""}","49.2765155, -123.0729141",49.2765155,-123.0729141
Audain Gallery,https://www.sfu.ca/galleries/audain-gallery.html,Museum/Gallery,Museum/Gallery,"149 W Hastings St, Vancouver, BC, V6B 1H4",Downtown,Other,"{""coordinates"": [-123.108715, 49.282395], ""type"": ""Point""}","49.282395, -123.108715",49.282395,-123.108715
Bloedel Conservatory,http://vancouver.ca/parks-recreation-culture/bloedel-conservatory.aspx,Museum/Gallery,Garden/Aquarium/Science Centre,"4600 Cambie St, Vancouver, BC, V5Y 2M5",Riley Park,Vancouver Park Board/COV,"{""coordinates"": [-123.113759, 49.242077], ""type"": ""Point""}","49.242077, -123.113759",49.242077,-123.113759
Canadian Music Centre (BC Region)/ Vancouver New Music Society,https://musiccentrebc.ca/,Museum/Gallery,Library/Archives,"837 Davie St, Vancouver, BC, V6Z 1B7",Downtown,Privately Owned,"{""coordinates"": [-123.1275105, 49.2780437], ""type"": ""Point""}","49.2780437, -123.1275105",49.2780437,-123.1275105
Circle Craft Co-Operative Shop & Gallery,www.circlecraft.net/,Museum/Gallery,Museum/Gallery,"1-1666 Johnston St, Vancouver, BC, V6H 3S2",Fairview,Government,"{""coordinates"": [-123.135541, 49.272369], ""type"": ""Point""}","49.272369, -123.135541",49.272369,-123.135541
Craft Council of British Columbia Gallery,www.craftcouncilbc.ca,Museum/Gallery,Museum/Gallery,"1386 Cartwright St, Vancouver, BC, V6H 3R8",Fairview,Government,"{""coordinates"": [-123.13479, 49.269837], ""type"": ""Point""}","49.269837, -123.13479",49.269837,-123.13479
Eagle Spirit Gallery,www.eaglespiritgallery.com,Museum/Gallery,Museum/Gallery,"1803 Maritime Mews, Vancouver, BC, V6H 3W7",Fairview,Privately Owned,"{""coordinates"": [-123.136077, 49.2710507], ""type"": ""Point""}","49.2710507, -123.136077",49.2710507,-123.136077
Emily Carr Institute of Art + Design 1612 Gallery,,Museum/Gallery,Museum/Gallery,"1612 W 3rd Av, Vancouver, BC, V6J 1K2",Fairview,Government,"{""coordinates"": [-123.1411548, 49.2688004], ""type"": ""Point""}","49.2688004, -123.1411548",49.2688004,-123.1411548
Jericho Beach,,Community Space,Plaza/Park/Band Shell,"3941 Point Grey Rd., Vancouver, BC, V6R 1B5",West Point Grey,City of Vancouver,"{""coordinates"": [-123.1912389, 49.2711948], ""type"": ""Point""}","49.2711948, -123.1912389",49.2711948,-123.1912389
South Main Gallery,https://www.facebook.com/southmaingallery/,Museum/Gallery,Museum/Gallery,"279 E 6th Av, Vancouver, BC, V5T 1J7",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.1113877, 49.2666989], ""type"": ""Point""}","49.2666989, -123.1113877",49.2666989,-123.1113877
šx???ex?n Xwtl’a7shn at Queen Elizabeth Theatre,,Community Space,Plaza/Park/Band Shell,"650 Hamilton St, Vancouver, BC, V6B 5N6",Downtown,City of Vancouver,"{""coordinates"": [-123.113393, 49.27994], ""type"": ""Point""}","49.27994, -123.113393",49.27994,-123.113393
Douglas Reynolds Gallery,www.douglasreynoldsgallery.com,Museum/Gallery,Museum/Gallery,"2335 Granville St, Vancouver, BC, V6H 3G4",Fairview,Privately Owned,"{""coordinates"": [-123.1385998, 49.2648423], ""type"": ""Point""}","49.2648423, -123.1385998",49.2648423,-123.1385998
Gallery Jones,www.galleryjones.com?,Museum/Gallery,Museum/Gallery,"1725 W 3rd Av, Vancouver, BC, V6J 1K7",Fairview,Privately Owned,"{""coordinates"": [-123.1438197, 49.2689012], ""type"": ""Point""}","49.2689012, -123.1438197",49.2689012,-123.1438197
UBC Museum of Anthropology,http://moa.ubc.ca/,Museum/Gallery,Museum/Gallery,"6393 NW Marine Dr, Vancouver, BC, V6T 1Z2",UBC,Other,"{""coordinates"": [-123.259174, 49.26907], ""type"": ""Point""}","49.26907, -123.259174",49.26907,-123.259174
15th Field Artillery Regiment Museum and Archives,www.memorybc.ca/museum-of-15th-field-artillery-regiment,Museum/Gallery,Museum/Gallery,"2025 W 11th Av, Vancouver, BC, V6J 2C7",Kitsilano,Privately Owned,"{""coordinates"": [-123.151123, 49.261938], ""type"": ""Point""}","49.261938, -123.151123",49.261938,-123.151123
Alliance for Arts and Culture,http://www.allianceforarts.com,Museum/Gallery,Library/Archives,"938 Howe St, Vancouver, BC, V6Z 1N9",Downtown,Privately Owned,"{""coordinates"": [-123.1228359, 49.2803099], ""type"": ""Point""}","49.2803099, -123.1228359",49.2803099,-123.1228359
Art Emporium,http://www.theartemporium.ca,Museum/Gallery,Museum/Gallery,"2928 Granville St, Vancouver, BC, V6H 3J7",Fairview,Privately Owned,"{""coordinates"": [-123.1383072, 49.2593906], ""type"": ""Point""}","49.2593906, -123.1383072",49.2593906,-123.1383072
Ayden Gallery,www.aydengallery.com?,Museum/Gallery,Museum/Gallery,"88 W Pender St, Vancouver, BC, V6B 6N9",Downtown,Privately Owned,"{""coordinates"": [-123.1071802, 49.2809655], ""type"": ""Point""}","49.2809655, -123.1071802",49.2809655,-123.1071802
Chali-Rosso Gallery,www.chalirosso.com,Museum/Gallery,Museum/Gallery,"2250 Granville St, Vancouver, BC, V6H 4H7",Fairview,Privately Owned,"{""coordinates"": [-123.1384021, 49.2657529], ""type"": ""Point""}","49.2657529, -123.1384021",49.2657529,-123.1384021
Hot Art Wet City,http://hotartwetcity.com/,Museum/Gallery,Museum/Gallery,"2206 Main St, Vancouver, BC, V5T 3C7",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.1007282, 49.2653981], ""type"": ""Point""}","49.2653981, -123.1007282",49.2653981,-123.1007282
BMO Theatre Centre - Workshop,,Studio/Rehearsal,Workshop,"162 W 1st Av, Vancouver, BC, V5Y 1A4",Mount Pleasant,City of Vancouver,"{""coordinates"": [-123.108535, 49.2702275], ""type"": ""Point""}","49.2702275, -123.108535",49.2702275,-123.108535
Chinese Cultural Centre Museum and Archives,,Museum/Gallery,Museum/Gallery,"555 Columbia St, Vancouver, BC, V6A 4H5",Downtown,City of Vancouver,"{""coordinates"": [-123.102448, 49.279894], ""type"": ""Point""}","49.279894, -123.102448",49.279894,-123.102448
Stanley Park Nature House,http://stanleyparkecology.ca/education/nature-house/,Museum/Gallery,Museum/Gallery,"Stanley Park, Vancouver, BC",Stanley Park,Vancouver Park Board/COV,"{""coordinates"": [-123.137914, 49.294408], ""type"": ""Point""}","49.294408, -123.137914",49.294408,-123.137914
Trench Gallery,www.trenchgallery.com,Museum/Gallery,Museum/Gallery,"148 Alexander St, Vancouver, BC, V6A 1B5",Downtown,Privately Owned,"{""coordinates"": [-123.1010921, 49.2839469], ""type"": ""Point""}","49.2839469, -123.1010921",49.2839469,-123.1010921
Wil Aballe Art Projects,http://www.waapart.com/,Museum/Gallery,Museum/Gallery,"688 E Hastings St, Vancouver, BC, V6A 1R1",Strathcona,Privately Owned,"{""coordinates"": [-123.0757838, 49.2794145], ""type"": ""Point""}","49.2794145, -123.0757838",49.2794145,-123.0757838
