parent_company,name,postal_code,address,latitude,longitude,stars_fair,stars,review_count,categories,RestaurantsReservations,RestaurantsPriceRange2,NoiseLevel,OutdoorSeating,ByAppointmentOnly,DietaryRestrictions,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Shaka Enterprise Ltd,Honolulu Coffee,V6Z 2H1,888 Nelson St,49.2800601,-123.1252654,4.439024390243903,4.5,118,"Coffee & Tea, Bakeries, Food, Restaurants, Cafes",,2.0,u'average',True,False,,0:0-0:0,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0
Lalten Yaletown Restaurant Ltd,Tasty Indian Bistro,V6B 6K3,1261 Hamilton Street,49.274317100000005,-123.1239687,3.9657534246575343,4.0,141,"Indian, Restaurants",True,2.0,u'average',True,,,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-0:0,11:30-0:0,11:30-23:0
0945022 BC Ltd,Li's China Grill,V5R 5K6,3377 Kingsway,49.2328713897,-123.0330413193,2.5641025641025643,2.5,34,"Chinese, Restaurants",True,3.0,u'average',False,,,17:0-0:30,17:0-0:30,17:0-0:30,17:0-0:30,17:0-0:30,17:0-0:30,17:0-0:30
Jinskitchen Food Ltd,Sushi Jin,V6Z 1A8,750 Nelson Street,49.2795794103,-123.1238175184,4.441860465116279,4.5,124,"Sushi Bars, Japanese, Restaurants",True,3.0,,,,,0:0-0:0,,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0
Mugen Japanese Restaurant Ltd,Sushi Mugen,V6Z 1B9,903 Davie street,49.2787454,-123.1282384,3.928571428571429,4.0,65,"Japanese, Sushi Bars, Restaurants, Salad, Asian Fusion",True,2.0,u'average',False,,,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0
Kitanoya Marketing Corp,Guu Davie,V6E 1N4,1239 Davie Street,49.282391700000005,-123.1336009,3.0,3.0,14,"Japanese, Food, Izakaya, Tapas Bars, Restaurants",,,,True,,,15:0-22:0,15:0-22:0,15:0-22:0,15:0-22:0,15:0-22:0,15:0-23:0,15:0-23:0
1175838 BC Ltd,Neptune Palace Seafood Restaurant,V5X 0C4,"470 SW Marine Drive, Unit 308",49.2100374,-123.11662920000002,3.4375,3.5,35,"Restaurants, Chinese, Seafood",True,,,False,,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
1189947 BC Ltd,The Cheese Inn,V6S 2G7,4585 Dunbar St,49.245467078900006,-123.1854483113,3.6666666666666665,4.0,10,"Bars, Nightlife, Arts & Entertainment, Music Venues, Wine Bars, Pubs, Restaurants, Seafood",,,,True,,,11:0-21:45,11:0-23:45,11:0-23:45,11:0-23:45,11:0-23:45,11:0-23:45,11:0-21:45
1200449 BC Ltd,Zeitoon Restaurant,V6G 1T2,1795 Pendrell Street,49.2879426,-123.1404572,3.0,3.0,118,"Middle Eastern, Food Delivery Services, Food, Restaurants, Mediterranean, Persian/Iranian",True,2.0,u'average',True,,,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:30,11:30-22:30
Flamingo Steak & Pizza House Ltd,Little Bird Dim Sum,V6K 1R4,2958 W 4th Avenue,49.2683013,-123.1715524,3.45,3.5,45,"Restaurants, Dim Sum, Bars, Beer Bar, Chinese, Nightlife, Tapas/Small Plates",True,2.0,,True,,,0:0-0:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
Kwan Luck Restaurant (2019) Ltd,Kwan Luck Restaurant,V5R 5H2,2516 Kingsway,49.23996270000001,-123.05405559999998,4.2,4.5,20,"Chinese, Restaurants",True,2.0,u'average',False,,,,,,,,,
Potluck Hawker Eatery Ltd,Potluck Hawker Eatery,V5Z 2W8,3424 Cambie Street,49.2545787,-123.1148931,3.4479166666666665,3.5,43,"Restaurants, Indonesian, Singaporean, Malaysian",,,,,,,,17:0-20:30,17:0-20:30,17:0-20:30,17:0-20:30,17:0-20:30,17:0-20:30
RRRJ Holdings Ltd,The Refinery,V6Z 1M1,1115 Granville Street,49.278132,-123.1252148,3.9673202614379086,4.0,148,"Modern European, Local Flavor, Restaurants, Cocktail Bars, Bars, Tapas/Small Plates, Gluten-Free, Beer, Wine & Spirits, Food, Wine Bars, Nightlife, Tapas Bars",True,2.0,u'average',False,,,,,,,19:0-2:0,19:0-2:0,
Aaron Armbruster & Jayden Grundy,The Cider House,V6K 3E7,1602 Yew Street,49.27148343060001,-123.1549537402,4.125,4.5,15,"Food, Cideries, Wine Bars, Salad, Restaurants, Breweries, Canadian (New), Nightlife, Bars, Vegetarian",,,,True,,,12:0-23:0,12:0-23:0,12:0-23:0,12:0-23:0,12:0-23:0,12:0-23:0,12:0-23:0
Maenam Restaurant Inc,Maenam,V6J 1M5,1938 W 4th Avenue,49.26787,-123.1488979,3.9857549857549857,4.0,346,"Thai, Restaurants",True,2.0,u'average',False,,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
1205276 BC Ltd,El Guapo,V6B 5T4,1009 Hamilton Street,49.276770283000005,-123.1201145803,3.827586206896552,4.0,24,"Nightlife, Bars, Mexican, Restaurants, Tapas Bars",,,,True,,,,,,,,,
J & R Restaurant Ltd,41 Noodle & Rice Pot House,V6M 2A3,2279 West 41st Avenue,49.2348021,-123.1591685,3.880952380952381,4.0,37,"Noodles, Restaurants, Chinese",True,2.0,u'average',True,,,0:0-0:0,11:0-19:30,11:0-19:30,11:0-19:30,11:0-19:30,11:0-19:30,
1239634 BC Ltd,La Ruota,V6J 1M9,2002 W 4th Avenue,49.267946754700006,-123.1505437195,3.391304347826087,3.5,18,"Restaurants, Italian, Pizza",,,,,,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-22:0
1429112 BC Ltd,Waves Coffee House,V6B 1L1,492 West Hastings St,49.283781700000006,-123.1119746,3.0,3.0,31,"Coffee & Tea, Food, Cafes, Restaurants",,1.0,,True,,,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0,6:0-0:0
Haiyi Seafood Restaurant Ltd,Haiyi Seafood Restaurant,V5V 3R8,4818 Main Street,49.2420795569,-123.1010937558,3.441860465116279,3.5,38,"Restaurants, Chinese, Seafood, Cantonese",True,2.0,,False,,,,,,,,,
1208276 B.C. LTD,Joon's Kitchen,V6H 2K8,3093 Oak Street,49.2580519,-123.1271478,3.891304347826087,4.0,41,"Restaurants, Japanese, Korean",,,,,,,11:30-22:0,,11:30-22:0,11:30-22:0,11:30-23:0,11:30-23:0,11:30-22:0
Parq Vancouver Limited Partnership,Honey Salt,V6B 0R3,39 Smithe Street,49.2753742,-123.1128477,3.488372093023256,3.5,210,"Restaurants, Honey, Breakfast & Brunch, Canadian (New), Nightlife, Lounges, Bars, Food, Juice Bars & Smoothies",True,2.0,u'average',False,,,6:30-23:30,6:30-23:30,6:30-23:30,6:30-23:30,6:30-23:30,6:30-23:30,6:30-23:30
Parq Vancouver Limited Partnership,The Victor,V6B 0R3,39 Smithe Street,49.2754056989,-123.1121986054,3.485955056179775,3.5,173,"Steakhouses, Seafood, Canadian (New), Restaurants",True,4.0,u'average',,,,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,
Dalina Investments Inc,Dalina,V5Z 1K7,992 W Broadway,49.26324964649999,-123.1264487654,3.380952380952381,3.5,16,"Grocery, Sandwiches, Restaurants, Food, Coffee & Tea",False,,,,,,8:0-17:0,7:30-15:0,7:30-15:0,7:30-15:0,7:30-15:0,,
Fiore Famiglia Restaurants Ltd,Fiore Famiglia,V6K 3C2,2603 - 16th Avenue W,49.257828700000005,-123.1651169,3.864864864864865,4.0,32,"Italian, Restaurants",True,,,True,True,,17:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,10:0-22:0,10:0-22:0
1482569 B.C. LTD.,Blenz Coffee,V6E 1N4,1203 Davie Street,49.28197854890001,-123.1333607624,3.4404761904761907,3.5,37,"Local Flavor, Food, Sandwiches, Restaurants, Coffee & Tea",,1.0,,True,,,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0
1501992 BC Ltd,Good Sushi,V5V 4E4,3916 Fraser Street,49.2498702,-123.0896868,3.9038461538461537,4.0,47,"Restaurants, Japanese, Sushi Bars",,2.0,,,,,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0
Romano's Pizza Ltd,Romano's Pizza,V6Z 1L3,995 Granville Street,49.27963007979999,-123.122810816,3.477678571428572,3.5,107,"Pizza, Restaurants",False,1.0,u'average',False,,,10:0-4:0,10:0-4:0,10:0-4:0,10:0-4:0,10:0-4:0,10:0-4:0,10:0-4:0
1415410 BC LTD,So Hyang Korean Cuisine,V5W 3A3,6345 Fraser Street,49.2269977,-123.09092350000002,4.472118959107807,4.5,264,"Korean, Restaurants",True,2.0,'average',False,False,,0:0-0:0,,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30
Chipotle Mexican Grill Canada Corp,Chipotle Mexican Grill,V6Z 1N4,818 Howe St,49.2815125,-123.12106740000002,3.0,3.0,214,"Tex-Mex, Fast Food, Salad, Restaurants, Mexican",False,2.0,u'average',False,,,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0
Wing Cheong Lau & John Leung & Shing Leung Shum,54th Ave Cafe Restaurant,V5S 4W2,7088 Kerr St,49.2193273971,-123.0411094018,2.5625,2.5,35,"Restaurants, Chinese",False,2.0,'average',False,,,,,,,,,
6055 Boulevard Holdings Ltd,Southern Delicacy,V6M 3X2,6055 West Blvd,49.2313500409,-123.155936636,3.6875,4.0,11,"Restaurants, Chinese",,,,,,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
THAI TOWN RESTAURANT LTD,Thai Town Restaurant,V6Z 1L4,1065 Granville Street,49.2786348,-123.1242,3.450980392156863,3.5,46,"Food, Food Delivery Services, Event Planning & Services, Venues & Event Spaces, Restaurants, Asian Fusion, Thai",True,2.0,u'quiet',False,False,,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,12:0-22:0
Pour House Food and Beverage Ltd,Pourhouse Restaurant,V6B 1B2,162 Water Street,49.2841134476,-123.108428796,3.98997995991984,4.0,494,"American (Traditional), Nightlife, Pubs, Bars, Burgers, Lounges, Canadian (New), Restaurants, Cocktail Bars, Comfort Food",True,2.0,u'loud',False,,,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-0:0,11:30-0:0,11:30-23:0
Provence Marinaside Foods Limited,Provence Marinaside,V6Z 2Y3,1177 Marinaside Crescent,49.2733234,-123.119583,3.492038216560509,3.5,309,"Breakfast & Brunch, Restaurants, Seafood, French",True,3.0,u'average',True,,,11:30-20:0,11:30-20:0,11:30-20:0,11:30-20:0,11:30-21:0,10:0-20:0,9:0-22:0
Parnon Restaurant Ltd,Double DD Pizza,V6R 1N8,3510 4th Avenue W,49.2684317,-123.1821449,3.933333333333333,4.0,70,"Italian, Restaurants, Greek, Pizza",True,2.0,u'average',True,,,,,,,,,
0768638 BC Ltd,La Buca Restaurant,V6L 2N8,4025 MacDonald Street,49.250648,-123.168016,3.9166666666666665,4.0,55,"Italian, Restaurants",True,3.0,u'very_loud',False,,,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-22:0,17:0-22:0,17:0-21:30
Woodstock Investments Inc,Chaise Lounge Restaurant,V5V 3R3,4444 Main St,49.2451594,-123.1009995,3.4820143884892087,3.5,134,"Nightlife, American (Traditional), Diners, Restaurants, Lounges, Bars",True,2.0,u'loud',True,,,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,9:0-0:0,9:0-0:0
Daniel M Kebede (Daniel Kebede),Harambe Restaurant,V5N 4B3,2149 Commercial Drive,49.265519,-123.069867,3.958677685950413,4.0,116,"Restaurants, Ethiopian, African",True,2.0,u'average',False,,,12:0-23:0,12:0-23:0,12:0-23:0,12:0-23:0,12:0-23:0,12:0-23:0,12:0-23:0
0827242 BC Ltd,St. Augustine's,V5N 4B7,2360 Commercial Drive,49.263856700000005,-123.0694135,3.4906015037593985,3.5,261,"Food, Nightlife, Pubs, Bars, Beer, Wine & Spirits",True,2.0,u'loud',True,,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
Their There Hospitality Inc,Their There,V6J 1M9,2042 West 4th Avenue,49.2679649502,-123.1511589412,3.932432432432433,4.0,69,"Breakfast & Brunch, Restaurants, Cafes, Food, Coffee & Tea",False,2.0,u'average',False,False,,,9:0-15:30,9:0-15:30,9:0-15:30,9:0-15:30,9:0-15:30,9:0-15:30
J Bros International Enterprises,BBT Cafe,V6M 3X1,5979 W Boulevard,49.2310505336,-123.155708313,3.0,3.0,55,"Taiwanese, Restaurants",True,2.0,u'average',False,,,,11:30-21:0,11:30-21:0,11:30-21:0,11:30-22:0,11:30-22:0,11:30-21:0
Shawn Donald Chesney & So Ran Im,Oyster Express,V6A 1X5,296 Keefer Street,49.2792784082,-123.0973971309,4.452830188679245,4.5,154,"Nightlife, Seafood, Bars, Cafes, Restaurants",False,2.0,u'average',False,,,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,
Coast Restaurants Ltd,Coast Restaurant,V6E 1A3,1054 Alberni Street,49.2846237,-123.1232331,3.4953095684803004,3.5,528,"Seafood, Restaurants",True,3.0,u'average',True,,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0
Valuce Hospitality's Ltd,Zakkushi on Denman,V6G 2L7,823 Denman Street,49.2912053,-123.1362486,3.9752475247524752,4.0,197,"Japanese, Restaurants, Bars, Barbeque, Wine Bars, Nightlife, Food, Asian Fusion, Tapas/Small Plates, Beer, Wine & Spirits",True,2.0,u'average',False,False,,0:0-0:0,16:0-23:0,16:0-23:0,16:0-23:0,16:0-23:0,16:0-23:0,16:0-23:0
Whole Foods Market - Wo Inc,Whole Foods Market,V6G 1C8,1675 Robson Street,49.2901006,-123.1327107,3.4759615384615383,3.5,99,"Sandwiches, Health Markets, Shopping, Specialty Food, Restaurants, Food, Grocery, Organic Stores, Delis",False,2.0,u'average',True,,,0:0-0:0,7:0-22:0,7:0-22:0,8:0-21:0,9:0-20:0,9:0-20:0,8:0-21:0
Whole Foods Market - Wo Inc,Whole Foods Market,V6K 1N9,2285 W 4th Avenue,49.268467,-123.157047,3.0,3.0,36,"Health Markets, Food, Juice Bars & Smoothies, Specialty Food, Grocery, Organic Stores",,3.0,,,,,0:0-0:0,7:30-22:0,7:30-22:0,8:0-21:0,9:0-20:0,9:0-20:0,8:0-21:0
Bao Bei Chinese Brasserie Inc,Bao Bei Chinese Brasserie,V6A 1X3,163 Keefer Street,49.2796095312,-123.100574596,3.9868073878627968,4.0,374,"Chinese, Restaurants",False,3.0,u'average',False,,,17:30-0:0,17:30-0:0,17:30-0:0,17:30-0:0,17:30-0:0,17:30-0:0,17:30-23:0
MKM Restaurant Ltd,Mui Garden Restaurant,V5P 3W5,5797 Victoria Drive,49.2317383,-123.0657785,3.0,3.0,63,"Restaurants, Ethnic Food, Malaysian, Chinese, Food, Specialty Food",True,2.0,'loud',False,,,8:0-21:30,8:0-21:30,8:0-21:30,8:0-21:30,8:0-21:30,8:0-21:30,8:0-21:30
Himalaya Restaurant Ltd,Himalaya Restaurant,V5X 3H1,6587 Main St,49.224847,-123.1018635,3.0,3.0,52,"Restaurants, Indian",True,2.0,u'average',False,,,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0
Le Crocodile Restaurant Ltd,Le Crocodile Restaurant,V6Z 2N2,909 Burrard Street,49.2822815357,-123.1249111317,4.480769230769231,4.5,385,"Food, Beer, Wine & Spirits, Restaurants, French",True,4.0,u'average',True,,,17:30-22:0,17:30-22:0,17:30-22:0,17:30-22:0,17:30-22:30,17:30-22:30,
Pacific Institute Of Culinary Arts Inc,Pacific Institute of Culinary Arts,V6H 3Y4,101-1505 2nd Avenue W,49.269877,-123.137902,3.891304347826087,4.0,41,"Event Planning & Services, Art Schools, Cooking Schools, Restaurants, Caterers, Canadian (New), Vocational & Technical School, American (New), Specialty Schools, Education",True,2.0,u'average',False,False,,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,,
True Confections Inc,True Confections,V6G 2L8,866 Denman Street,49.2907579,-123.1361542,3.0,3.0,185,"Patisserie/Cake Shop, Bakeries, Food, Desserts",,2.0,,,,,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-1:0,10:0-0:0
Zhou Zhou Enterprises Ltd,Cosy Inn Cafe,V6S 2G4,4455 Dunbar St,49.2465696,-123.18546090000002,3.0,3.0,10,"Breakfast & Brunch, Restaurants",False,2.0,u'quiet',False,,,,,,,,,
Winkai Restaurant Ltd,Congee Noodle House,V5T 1W1,141 E Broadway,49.263084,-123.1020899,3.492647058823529,3.5,335,"Restaurants, Noodles, Chinese",False,1.0,u'average',False,,,8:30-1:0,8:30-1:0,8:30-1:0,8:30-1:0,8:30-2:0,8:30-2:0,8:30-1:0
566363 BC Ltd,Ginger & Chili Restaurant,V6R 2H8,4409 10th Avenue W,49.2639581,-123.206341,3.0,3.0,36,"Restaurants, Chinese",True,1.0,u'quiet',False,False,,,16:30-21:0,16:30-21:0,16:30-21:0,16:30-21:30,16:30-21:30,16:30-21:0
Cactus Cafe Broadway Ltd,Cactus Club Cafe,V6J 5K9,1530 West Broadway,49.2634387,-123.1395482,3.482269503546099,3.5,136,"American (New), Canadian (New), Bars, Cocktail Bars, Restaurants, Food Delivery Services, Food, Nightlife",True,2.0,u'loud',True,False,,0:0-0:0,11:0-1:0,11:30-0:0,11:0-0:0,11:30-22:30,11:30-22:30,11:30-22:0
Ikkyu Holdings Inc,Nikkyu Japanese Restaurant,V5V 3M7,3302 Main St,49.255567,-123.101019,2.533783783783784,2.5,69,"Restaurants, Japanese",True,2.0,u'average',True,,,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30,11:30-22:30
Potato Planet Restaurant Inc,Belgian Fries,V5N 4A6,1885 Commercial Drive,49.267933,-123.0698876,3.486910994764398,3.5,186,"Poutineries, Belgian, Restaurants, Fast Food",False,1.0,u'average',True,,,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-23:0,11:30-23:0,11:30-22:0
Afghan Horsemen Enterprises Ltd,Afghan Horsemen Restaurant,V6H 4E5,"1833 Anderson Street, Suite 202",49.2694847203,-123.1387352943,3.977064220183486,4.0,213,"Afghan, Restaurants, Kebab, Middle Eastern, Mediterranean",True,2.0,u'average',True,,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-23:0,17:0-23:0,17:0-22:0
0775555 BC Ltd,The Cascade Room,V5T 3E6,2616 Main Street,49.261729200000005,-123.1007848,3.977578475336323,4.0,218,"Nightlife, Pubs, American (New), Bars, Canadian (New), Restaurants, Cocktail Bars",True,2.0,u'average',False,,,15:30-1:0,16:0-1:0,16:0-1:0,16:0-1:0,16:0-2:0,16:0-2:0,16:0-0:0
0783348 BC Ltd,Axum Restaurant,V6A 1S4,1279 E Hastings Street,49.2814936637,-123.0777958231,4.379032258064516,4.5,57,"Ethiopian, Restaurants",True,2.0,u'quiet',False,,,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0
Ming Tak Hong Kong Style Restaurant Ltd,Ming Tak Hong Kong Style Restaurant,V6P 4Z8,8363 Granville St,49.2108334,-123.1407047,3.0,3.0,21,"Hong Kong Style Cafe, Chinese, Restaurants",True,2.0,u'average',False,,,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:30-21:0
Studio Munto Enterprises Ltd,Marulilu Cafe,V5Y 1R4,451 W Broadway,49.26334179999999,-123.11410320000002,3.9816849816849818,4.0,268,"Sandwiches, Food, Cafes, Coffee & Tea, Breakfast & Brunch, Japanese, Restaurants",False,2.0,u'average',False,,,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:30-18:0,8:30-18:0
MJK Ventures Ltd,Tim Hortons,V6A 3W9,306 Terminal Avenue,49.2721641377,-123.0978167058,2.592592592592593,2.5,22,"Fast Food, Sandwiches, Bakeries, Coffee & Tea, Food, Donuts, Restaurants, Breakfast & Brunch",False,1.0,,False,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
0863865 BC Ltd,Tim Hortons,V6B 6L9,463 Robson Street,49.27983350979999,-123.1171406628,3.0,3.0,70,"Restaurants, Fast Food, Sandwiches, Bakeries, Food, Donuts, Coffee & Tea",False,1.0,'average',False,False,,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0
Original Tandoori Kitchen Ltd,Original Tandoori Kitchen,V5X 3J3,7215 Main Street,49.219006,-123.101867,3.0,3.0,58,"Indian, Restaurants",True,2.0,u'average',False,,,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0,12:30-23:0,12:30-23:0
Good Choice Restaurant Group Ltd,Good Choice Restaurant,V5W 2Z8,6007 Fraser Street,49.22999620000001,-123.0908133,3.4545454545454546,3.5,50,"Seafood, Dim Sum, Restaurants, Chinese",True,2.0,u'average',False,,,17:0-22:0,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
Cinema Public House Ltd,Cinema Public House,V6Z 1L3,901 Granville Street,49.280407,-123.12191740000002,3.0,3.0,126,"Nightlife, Gastropubs, American (New), Restaurants, Bars, Pubs",True,2.0,u'average',True,False,,11:30-3:0,11:30-3:0,11:30-3:0,11:30-3:0,11:30-3:0,11:0-3:0,11:0-3:0
0921868 BC Ltd,To Dine For Eatery,V6A 4C1,333 Terminal Avenue,49.272541,-123.0958166,4.392857142857143,4.5,65,"Coffee & Tea, Food, Burgers, Breakfast & Brunch, Korean, Restaurants, Vegan",True,2.0,u'quiet',False,,,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,8:30-17:0,,
0929895 BC Ltd,Top Cantonese Cuisine Restaurant,V5R 5H5,2752 Kingsway,49.2375721315,-123.0494863128,3.0,3.0,55,"Restaurants, Dim Sum, Cantonese, Chinese",True,2.0,u'average',False,,,,,,,,,
TFG3 Inc,Freshii,V6E 4E6,1185 West GA St,49.2872573,-123.1247192,3.0,3.0,36,"Canadian (New), Gluten-Free, Restaurants, Food, Vegetarian, Salad, Vegan, Ice Cream & Frozen Yogurt, Juice Bars & Smoothies, Fast Food",False,1.0,u'average',False,,,8:0-18:30,8:0-18:30,8:0-18:30,8:0-18:30,8:0-18:30,11:30-17:0,
Dark Table Restaurant Inc,Dark Table,V6K 1P8,2611 W 4th Avenue,49.2684762,-123.1647896,3.988789237668161,4.0,441,"Canadian (New), Restaurants",True,3.0,u'average',True,,,17:30-21:0,17:30-22:0,17:30-22:0,17:30-22:0,17:30-22:30,17:30-22:30,17:30-22:30
Tandoori Fusion Indian Cuisine Ltd,Tandoori Fusion,V6K 2G7,2872 W Broadway,49.2639679,-123.1695571,3.957983193277311,4.0,114,"Indian, Restaurants",True,2.0,u'average',True,,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,12:0-22:0,12:0-22:0
0944075 BC Ltd,O Sushi,V6Z 1E4,742 Granville Street,49.2819929954,-123.1190859014,3.0,3.0,58,"Restaurants, Sushi Bars, Japanese",False,2.0,u'average',False,,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,12:0-21:0,12:0-21:0
Domb Enterprises Inc,Basil Pasta Bar,V6B 2G5,636 Davie Street,49.2767546,-123.1259051,3.4932065217391304,3.5,363,"Fast Food, Italian, Restaurants",True,1.0,u'average',False,,,11:30-23:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-2:30,11:30-2:30,11:30-23:0
Grand Honour (2013) Restaurant Ltd,Grand Honour Restaurant,V6M 4J7,5701 Granville Street,49.2340907,-123.14012,2.5543478260869565,2.5,41,"Restaurants, Chinese",True,2.0,u'average',False,,,,,,,,,
0985695 BC Ltd,Miyako Sushi,V5L 1V6,2341 E Hastings Street,49.2813655,-123.0573113,3.0,3.0,38,"Sushi Bars, Restaurants, Japanese",True,2.0,u'quiet',True,,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:30-22:0
Superfast Services Ltd,Dairy Queen,V5R 5J3,2940 Kingsway Ave,49.235893221400005,-123.04473059999998,2.5892857142857144,2.5,23,"Restaurants, Food, Fast Food, Ice Cream & Frozen Yogurt",False,1.0,'average',True,,,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,10:30-22:30,11:0-22:30
0908586 BC Ltd,Subway,V5S 4W2,7172 Kerr Street,49.21890132520001,-123.0402545981,1.96875,1.5,11,"Fast Food, Sandwiches, Restaurants",False,,,,,,7:0-22:0,7:0-22:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,8:0-22:0
0995300 BC Ltd,Blue Water Cafe,V6B 5T4,1095 Hamilton St,49.276155,-123.1211291,4.491812227074236,4.5,911,"Live/Raw Food, Restaurants, Steakhouses, Sushi Bars, Seafood, Food, Food Delivery Services, Bars, Cocktail Bars, Wine Bars, Nightlife",True,3.0,u'average',True,False,,0:0-0:0,16:30-22:30,16:30-22:30,16:30-22:30,16:0-22:30,16:0-22:30,16:30-22:30
RKZ Enterprises Ltd,Pedro's Organic Coffee House,V6H 3Y5,1550 Anderson Street,49.270261,-123.1363751,3.4404761904761907,3.5,37,"Coffee & Tea, Organic Stores, Bakeries, Food",,1.0,,True,,,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0
Julien Aubin & Maxime Bettili,Au Comptoir,V6K 1N8,2278 W 4th Avenue,49.2680343284,-123.1567248776,3.972972972972973,4.0,180,"Cafes, French, Restaurants",False,2.0,u'average',True,,,,,8:0-21:0,8:0-21:0,8:0-22:0,8:0-22:0,8:0-21:0
1005466 BC Ltd,Devil's Elbow Ale & Smoke House,V6B 2L3,562 Beatty Street,49.2802264,-123.1098262,3.486111111111111,3.5,175,"Smokehouse, Gastropubs, Restaurants, Barbeque, Food",True,2.0,'average',False,False,,11:30-0:0,11:30-0:0,11:30-0:0,11:30-0:0,11:30-1:0,11:30-1:0,11:30-0:0
0949813 BC Ltd,Sushi 7,V5Z 2W8,3488 Cambie Street,49.254146408100006,-123.1150238347,3.913793103448276,4.0,53,"Japanese, Restaurants, Sushi Bars",True,2.0,'quiet',False,,,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,12:0-21:30
JGJ Foods Ltd,Subway,V5M 4V8,"2323 Boundary Road, Suite 110",49.2636844,-123.0246925,3.0,3.0,7,"Restaurants, Fast Food, Sandwiches",False,,,False,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
